Borough,Zipcode,Year,Month,Average Sale Price
Manhattan,10032,2021,May,272500
Manhattan,10033,2021,May,1855546.667
Manhattan,10034,2021,May,2490495.3
Manhattan,10035,2021,May,798625
Manhattan,10036,2021,May,3101614.6
Manhattan,10037,2021,May,212500.6
Manhattan,10038,2021,May,2147274.278
Manhattan,10039,2021,May,1082000
Manhattan,10040,2021,May,502179.7
Manhattan,10044,2021,May,1290723.5
Manhattan,10065,2021,May,1761010.983
Manhattan,10069,2021,May,1873115.909
Manhattan,10075,2021,May,1777941.804
Manhattan,10128,2021,May,1358352.17
Manhattan,10280,2021,May,917522.7273
Manhattan,10282,2021,May,2281250
Manhattan,10001,2021,June,3432291.568
Manhattan,10002,2021,June,1381250.714
Manhattan,10003,2021,June,2226966.305
Manhattan,10004,2021,June,1301165.211
Manhattan,10005,2021,June,21122727.27
Manhattan,10006,2021,June,2189172
Manhattan,10007,2021,June,3596851.852
Manhattan,10009,2021,June,953180.1852
Manhattan,10010,2021,June,2057395.677
Manhattan,10011,2021,June,4477895.877
Manhattan,10012,2021,June,8287107.133
Manhattan,10013,2021,June,4081698.254
Manhattan,10014,2021,June,2533850.686
Manhattan,10016,2021,June,1358204.761
Manhattan,10017,2021,June,6328381.861
Manhattan,10018,2021,June,2349666.667
Manhattan,10019,2021,June,3030272.939
Manhattan,10021,2021,June,2283807.415
Manhattan,10022,2021,June,4032464.705
Manhattan,10023,2021,June,2010460.245
Manhattan,10024,2021,June,2948824.255
Manhattan,10025,2021,June,1170159.55
Manhattan,10026,2021,June,892217.4333
Manhattan,10027,2021,June,1602716.846
Manhattan,10028,2021,June,2573245.167
Manhattan,10029,2021,June,988131.3182
Manhattan,10030,2021,June,3806129.839
Manhattan,10031,2021,June,4869091.056
Manhattan,10032,2021,June,1345277.778
Manhattan,10033,2021,June,952950
Manhattan,10034,2021,June,1720653.846
Manhattan,10035,2021,June,645300
Manhattan,10036,2021,June,1319409.757
Manhattan,10037,2021,June,96250
Manhattan,10038,2021,June,2531433.475
Manhattan,10040,2021,June,532714.2857
Manhattan,10044,2021,June,1448985.2
Manhattan,10065,2021,June,1580063.25
Manhattan,10069,2021,June,1634555.556
Manhattan,10075,2021,June,3136478.04
Manhattan,10128,2021,June,1845031.466
Manhattan,10280,2021,June,577397.75
Manhattan,10463,2021,June,420000
Manhattan,10001,2021,July,2424442.4
Manhattan,10002,2021,July,1354398.318
Manhattan,10003,2021,July,1690177.906
Manhattan,10004,2021,July,1506352.941
Manhattan,10005,2021,July,1084486.538
Manhattan,10006,2021,July,825000
Manhattan,10007,2021,July,3692876.69
Manhattan,10009,2021,July,1229807.857
Manhattan,10010,2021,July,2323339.2
Manhattan,10011,2021,July,2336469.775
Manhattan,10012,2021,July,2852288.788
Manhattan,10013,2021,July,4999146.552
Manhattan,10014,2021,July,2636558.557
Manhattan,10016,2021,July,1017632.529
Manhattan,10017,2021,July,1797778.5
Manhattan,10018,2021,July,1709875
Manhattan,10019,2021,July,2326138.532
Manhattan,10021,2021,July,2106625
Manhattan,10022,2021,July,1039681.926
Manhattan,10023,2021,July,1910983.234
Manhattan,10024,2021,July,2400970.905
Manhattan,10025,2021,July,1271267.89
Manhattan,10026,2021,July,1145607.5
Manhattan,10027,2021,July,1614611.163
Manhattan,10028,2021,July,2096730
Manhattan,10029,2021,July,1334672.826
Manhattan,10030,2021,July,5166288.381
Manhattan,10031,2021,July,849397.6364
Manhattan,10032,2021,July,1179625
Manhattan,10033,2021,July,1858321.053
Manhattan,10034,2021,July,3582071.429
Manhattan,10035,2021,July,931500
Manhattan,10036,2021,July,4384140.915
Manhattan,10037,2021,July,290000
Manhattan,10038,2021,July,1617078.182
Manhattan,10039,2021,July,81250
Manhattan,10040,2021,July,1074923.2
Manhattan,10044,2021,July,717333.3333
Manhattan,10065,2021,July,2006804.382
Manhattan,10069,2021,July,2081470.588
Manhattan,10075,2021,July,2417079.314
Manhattan,10128,2021,July,1448861.469
Manhattan,10280,2021,July,663615.3846
Manhattan,10282,2021,July,3822500
Manhattan,10463,2021,July,7795000
Manhattan,10001,2021,August,1926845.222
Manhattan,10002,2021,August,1310393.807
Manhattan,10003,2021,August,3101259.505
Manhattan,10004,2021,August,1422198.083
Manhattan,10005,2021,August,851538.4615
Manhattan,10006,2021,August,823800
Manhattan,10007,2021,August,3133121.478
Manhattan,10009,2021,August,1176483.929
Manhattan,10010,2021,August,1693899.653
Manhattan,10011,2021,August,2371941.744
Manhattan,10012,2021,August,2392735.294
Manhattan,10013,2021,August,4501244.758
Manhattan,10014,2021,August,2274574.043
Manhattan,10016,2021,August,1833143.965
Manhattan,10017,2021,August,809993.2826
Manhattan,10018,2021,August,1568410
Manhattan,10019,2021,August,3406249.703
Manhattan,10021,2021,August,1540198.364
Manhattan,10022,2021,August,1288194.913
Manhattan,10023,2021,August,1701701.45
Manhattan,10024,2021,August,1983347.486
Manhattan,10025,2021,August,863532.9902
Manhattan,10026,2021,August,1082781.25
Manhattan,10027,2021,August,985539.9024
Manhattan,10028,2021,August,2064072.5
Manhattan,10029,2021,August,1853195.3
Manhattan,10030,2021,August,721473.913
Manhattan,10031,2021,August,617285.7143
Manhattan,10032,2021,August,506014.625
Manhattan,10033,2021,August,633578.9474
Manhattan,10034,2021,August,457360.3571
Manhattan,10035,2021,August,677928.5714
Manhattan,10036,2021,August,762887.931
Manhattan,10037,2021,August,791061.6667
Manhattan,10038,2021,August,2104345.028
Manhattan,10039,2021,August,587500
Manhattan,10040,2021,August,480923.0769
Manhattan,10044,2021,August,954166.6667
Manhattan,10065,2021,August,2850541.037
Manhattan,10069,2021,August,2199714.286
Manhattan,10075,2021,August,2087807.692
Manhattan,10128,2021,August,1861400.576
Manhattan,10280,2021,August,787186.8462
Manhattan,10282,2021,August,3547954.8
Manhattan,10463,2021,August,196250
Manhattan,10001,2021,September,14269046.32
Manhattan,10002,2021,September,1443457.24
Manhattan,10003,2021,September,1978789.533
Manhattan,10004,2021,September,2970850
Manhattan,10005,2021,September,951112.6111
Manhattan,10006,2021,September,15259545.45
Manhattan,10007,2021,September,4628063.933
Manhattan,10009,2021,September,1018860
Manhattan,10010,2021,September,1527393.491
Manhattan,10011,2021,September,2322139.269
Manhattan,10012,2021,September,4537725.73
Manhattan,10013,2021,September,3817153.907
Manhattan,10014,2021,September,3101382.41
Manhattan,10016,2021,September,3296570.694
Manhattan,10017,2021,September,683759.4444
Manhattan,10018,2021,September,43252346
Manhattan,10019,2021,September,6171593.025
Manhattan,10021,2021,September,2118132.59
Manhattan,10022,2021,September,1404976.798
Manhattan,10023,2021,September,1841229.471
Manhattan,10024,2021,September,1929739.577
Manhattan,10025,2021,September,1586141.738
Manhattan,10026,2021,September,864042.6364
Manhattan,10027,2021,September,10492141.32
Manhattan,10028,2021,September,2460356.667
Manhattan,10029,2021,September,1629560.9
Manhattan,10030,2021,September,1129304.308
Manhattan,10031,2021,September,544844.6
Manhattan,10032,2021,September,809545.4545
Manhattan,10033,2021,September,923647.0588
Manhattan,10034,2021,September,351250
Manhattan,10035,2021,September,1101166.667
Manhattan,10036,2021,September,8937584.897
Manhattan,10037,2021,September,789600
Manhattan,10038,2021,September,1763966.854
Manhattan,10039,2021,September,560000
Manhattan,10040,2021,September,599932.4444
Manhattan,10041,2021,September,1
Manhattan,10044,2021,September,437526.7679
Manhattan,10065,2021,September,2605037.227
Manhattan,10069,2021,September,989687.5
Manhattan,10075,2021,September,3327471.149
Manhattan,10128,2021,September,1699431.163
Manhattan,10280,2021,September,1156653.846
Manhattan,10282,2021,September,3098750
